"Warehouse","Method","FinishedTasks","PickupDistanceMean","CompletionP95","EmptyWait","LoadedWait","EmptyDistance","LoadedDetourMean","PlannerSecondsMean","EntryTimeouts","PlannerErrors","ScheduleErrors"
"500","flow-traffic","1445","9.453979238754325","161.0","12042","10879","33511","1.5106363458699446","0.9171326643999996","0","0","0"
"500","taskmatcher-traffic-w1.0","1514","8.525759577278732","172.0","11963","11226","34412","1.5138186194888112","0.9170319179999994","0","0","0"
"500","taskmatcher-traffic-w2.0","1546","8.32470892626132","170.0","11902","10488","35363","1.473951974369347","0.9169126884000001","0","0","0"
"500","taskmatcher-traffic-w4.0","1521","8.312294543063773","165.0","12306","10508","35107","1.4768207008595375","0.9168638723999997","0","0","0"
"600","flow-traffic","1514","8.634081902245708","184.0","15189","16585","36925","1.712946765564237","0.9166766587999998","0","0","0"
"600","taskmatcher-traffic-w1.0","1527","7.949574328749182","182.0","15677","17812","37442","1.7676898908090253","0.9162789916000003","0","0","0"
"600","taskmatcher-traffic-w2.0","1487","7.6180228648285135","181.0","15448","18451","37560","1.7856008492052737","0.9162214904000002","0","0","0"
"600","taskmatcher-traffic-w4.0","1582","7.793299620733249","177.0","15175","17188","38657","1.6987324331456177","0.9161499148","0","0","0"
