task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
112,0,1,3,65,431,1,2,3,4,0.000000,0.000000,30,2,54,0,8,8,1,3,65,1.800000
113,0,17,26,104,252,0,5,3,4,3.000000,3.000000,36,8,64,0,14,14,17,26,104,1.777778
114,0,1,14,58,13,8,13,3,2,0.000000,0.000000,11,11,23,2,21,23,1,14,58,2.090909
115,0,1,10,38,326,8,14,3,4,0.000000,0.000000,19,9,21,0,7,7,1,10,38,1.105263
116,0,1,17,48,360,15,12,3,2,0.000000,0.000000,21,14,27,2,4,6,1,17,48,1.285714
117,0,195,198,256,475,1,13,3,4,7.000000,7.000000,47,2,53,0,5,5,195,198,256,1.127660
118,0,120,145,217,49,9,8,3,3,0.000000,3.000000,58,12,68,2,4,6,120,145,217,1.172414
119,0,72,169,226,347,48,13,3,2,1.000000,1.000000,52,48,54,19,3,22,72,169,226,1.038462
120,0,1,45,111,499,4,1,3,3,0.000000,0.000000,29,9,39,3,27,30,1,45,111,1.344828
121,0,1,12,46,105,11,6,3,4,0.000000,0.000000,16,8,26,3,8,11,1,12,46,1.625000
122,0,1,18,52,206,15,5,3,4,0.000000,0.000000,19,16,25,1,9,10,1,18,52,1.315789
123,0,133,199,257,113,9,11,3,4,1.000000,3.000000,53,9,57,3,1,4,133,199,257,1.075472
124,0,1,1,27,131,0,0,3,-1,-1.000000,-1.000000,14,0,20,0,6,6,1,1,27,1.428571
125,0,1,17,37,23,15,9,3,2,0.000000,0.000000,11,13,17,3,3,6,1,17,37,1.545455
126,0,1,7,70,198,5,1,3,3,0.000000,0.000000,28,4,54,2,9,11,1,7,70,1.928571
127,0,51,108,162,402,53,11,3,4,2.000000,7.000000,44,40,52,17,2,19,51,108,162,1.181818
128,0,1,14,53,11,9,7,3,4,0.000000,0.000000,22,9,34,4,5,9,1,14,53,1.545455
129,0,1,4,22,82,2,2,3,3,0.000000,0.000000,18,3,18,0,0,0,1,4,22,1.000000
130,0,4,141,211,295,76,1,3,3,0.000000,1.000000,51,63,67,33,3,36,4,141,211,1.313725
131,0,38,85,142,420,1,6,3,4,0.000000,4.000000,48,2,56,0,1,1,38,85,142,1.166667
132,0,47,94,178,236,17,17,3,2,5.000000,6.000000,45,18,83,3,1,4,47,94,178,1.844444
133,0,1,5,47,479,4,1,3,3,0.000000,0.000000,34,4,38,0,4,4,1,5,47,1.117647
134,0,1,3,46,106,0,2,3,3,0.000000,0.000000,27,2,35,0,8,8,1,3,46,1.296296
135,0,1,46,86,98,19,4,3,3,0.000000,0.000000,25,18,33,3,7,10,1,46,86,1.320000
136,0,1,18,77,253,2,3,3,4,0.000000,0.000000,43,5,51,0,8,8,1,18,77,1.186047
137,0,1,11,62,243,7,9,3,2,0.000000,0.000000,23,10,37,0,14,14,1,11,62,1.608696
138,0,1,28,65,355,5,5,3,3,0.000000,0.000000,26,8,34,0,3,3,1,28,65,1.307692
139,0,131,131,213,449,0,0,3,-1,-1.000000,-1.000000,54,0,76,0,6,6,131,131,213,1.407407
140,0,140,192,258,144,34,25,3,2,1.000000,2.000000,44,24,58,19,8,27,140,192,258,1.318182
141,0,1,1,16,18,0,0,3,-1,-1.000000,-1.000000,10,0,14,0,1,1,1,1,16,1.400000
142,0,1,15,42,320,11,5,3,4,0.000000,0.000000,10,13,24,1,3,4,1,15,42,2.400000
143,0,19,37,75,211,14,10,3,2,5.000000,5.000000,32,13,38,5,0,5,19,37,75,1.187500
144,0,3,71,142,169,3,4,3,4,0.000000,0.000000,55,7,69,3,2,5,3,71,142,1.254545
145,0,113,211,269,277,50,19,3,4,3.000000,5.000000,31,55,45,6,13,19,113,211,269,1.451613
146,0,172,175,241,35,0,14,3,2,4.000000,4.000000,47,1,63,0,3,3,172,175,241,1.340426
147,0,1,6,37,92,4,2,3,3,0.000000,0.000000,17,5,21,0,10,10,1,6,37,1.235294
148,0,1,2,34,87,1,11,3,4,0.000000,0.000000,27,1,31,0,1,1,1,2,34,1.148148
149,0,1,12,71,497,6,14,3,4,0.000000,0.000000,31,6,55,2,4,6,1,12,71,1.774194
150,0,1,7,43,356,5,4,3,4,0.000000,0.000000,25,5,29,1,7,8,1,7,43,1.160000
151,0,92,463,517,497,31,13,3,4,0.000000,6.000000,45,34,53,16,1,17,92,463,517,1.177778
152,0,1,2,32,193,0,1,3,3,0.000000,0.000000,22,1,30,0,0,0,1,2,32,1.363636
153,0,1,1,29,466,0,0,3,-1,-1.000000,-1.000000,24,0,28,0,0,0,1,1,29,1.166667
154,0,24,748,806,473,38,7,3,4,8.000000,10.000000,43,45,57,13,1,14,24,748,806,1.325581
155,0,1,14,25,17,12,7,3,4,0.000000,0.000000,8,9,10,4,1,5,1,14,25,1.250000
156,0,151,209,255,481,27,23,3,4,2.000000,6.000000,43,19,45,10,1,11,151,209,255,1.046512
157,0,1,52,110,470,12,5,3,4,0.000000,0.000000,35,7,55,7,3,10,1,52,110,1.571429
158,0,39,114,198,62,31,13,3,2,3.000000,3.000000,53,28,81,11,3,14,39,114,198,1.528302
159,0,37,58,107,200,11,13,3,2,3.000000,3.000000,38,10,40,4,9,13,37,58,107,1.052632
160,0,1,12,88,111,6,4,3,3,0.000000,0.000000,39,6,69,5,7,12,1,12,88,1.769231
161,0,1,28,114,189,15,1,3,3,0.000000,0.000000,17,20,63,2,23,25,1,28,114,3.705882
162,0,1,1,25,230,0,0,3,-1,-1.000000,-1.000000,21,0,23,0,1,1,1,1,25,1.095238
163,0,1,1,32,384,0,0,3,-1,-1.000000,-1.000000,25,0,27,0,4,4,1,1,32,1.080000
164,0,10,35,100,421,7,2,3,4,0.000000,1.000000,44,8,62,3,3,6,10,35,100,1.409091
165,0,7,61,135,157,2,11,3,4,0.000000,4.000000,48,4,74,1,0,1,7,61,135,1.541667
166,0,164,178,254,458,4,12,3,2,5.000000,5.000000,45,5,75,2,1,3,164,178,254,1.666667
167,0,1,19,61,449,5,1,3,3,0.000000,0.000000,34,12,40,1,2,3,1,19,61,1.176471
168,0,1,2,19,125,0,1,3,3,0.000000,0.000000,9,1,13,0,4,4,1,2,19,1.444444
169,0,2,21,94,452,5,2,3,4,0.000000,0.000000,37,10,61,1,12,13,2,21,94,1.648649
170,0,1,8,39,221,2,4,3,3,0.000000,0.000000,19,7,27,0,4,4,1,8,39,1.421053
171,0,30,177,235,30,117,13,3,4,5.000000,11.000000,46,78,58,60,0,60,30,177,235,1.260870
172,0,1,2,38,407,1,3,3,4,0.000000,0.000000,28,1,34,0,2,2,1,2,38,1.214286
173,0,1,11,59,372,7,1,3,3,0.000000,0.000000,27,10,43,0,5,5,1,11,59,1.592593
174,0,1,18,78,410,14,2,3,4,0.000000,0.000000,37,15,55,2,5,7,1,18,78,1.486486
175,0,1,7,28,89,5,4,3,4,0.000000,0.000000,14,5,18,1,3,4,1,7,28,1.285714
176,0,1,12,76,401,10,14,3,4,0.000000,0.000000,33,10,53,1,11,12,1,12,76,1.606061
177,0,1,60,121,491,3,5,3,4,0.000000,0.000000,39,11,51,2,10,12,1,60,121,1.307692
178,0,1,56,105,103,42,14,3,2,0.000000,0.000000,23,37,41,13,8,21,1,56,105,1.782609
179,0,236,260,336,209,9,11,3,4,0.000000,5.000000,41,10,61,2,15,17,236,260,336,1.487805
180,0,1,5,24,63,2,5,3,4,0.000000,0.000000,12,4,16,0,3,3,1,5,24,1.333333
181,0,1,15,33,61,11,10,3,2,0.000000,0.000000,12,12,16,2,2,4,1,15,33,1.333333
182,0,1,9,59,226,7,2,3,4,0.000000,0.000000,17,7,39,1,11,12,1,9,59,2.294118
183,0,1,5,54,439,2,4,3,4,0.000000,0.000000,31,3,47,1,2,3,1,5,54,1.516129
184,0,1,2,26,77,1,3,3,4,0.000000,0.000000,17,1,21,0,3,3,1,2,26,1.235294
185,0,1,9,43,398,8,11,3,2,0.000000,0.000000,23,7,29,1,5,6,1,9,43,1.260870
186,0,12,12,50,412,0,0,3,-1,-1.000000,-1.000000,22,0,34,0,4,4,12,12,50,1.545455
187,0,459,485,552,283,0,10,3,4,0.000000,4.000000,39,5,55,0,12,12,459,485,552,1.410256
188,0,118,127,198,166,6,6,3,4,0.000000,3.000000,55,7,67,0,4,4,118,127,198,1.218182
189,0,662,687,735,26,2,17,3,4,0.000000,0.000000,43,8,47,0,1,1,662,687,735,1.093023
190,0,1,6,32,359,5,4,3,4,0.000000,0.000000,22,3,24,2,2,4,1,6,32,1.090909
191,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,53,0,0,0,0,0,-1,-1,-1,0.000000
192,0,1,3,26,29,0,2,3,3,0.000000,0.000000,9,2,15,0,8,8,1,3,26,1.666667
193,0,1,6,72,447,1,2,3,2,0.000000,0.000000,23,3,45,0,21,21,1,6,72,1.956522
194,0,1,1,42,246,0,0,3,-1,-1.000000,-1.000000,27,0,39,0,2,2,1,1,42,1.444444
195,0,1,1,8,81,0,0,3,-1,-1.000000,-1.000000,7,0,7,0,0,0,1,1,8,1.000000
196,0,1,14,34,94,11,8,3,4,0.000000,0.000000,13,13,19,0,1,1,1,14,34,1.461538
197,0,1,8,28,217,6,13,3,4,0.000000,0.000000,17,3,17,4,3,7,1,8,28,1.000000
198,0,1,133,197,459,104,12,3,2,0.000000,0.000000,33,76,63,33,1,34,1,133,197,1.909091
199,0,1,9,27,260,8,5,3,4,0.000000,0.000000,14,7,16,1,2,3,1,9,27,1.142857
200,0,1,4,48,307,2,12,3,4,0.000000,0.000000,32,2,42,1,2,3,1,4,48,1.312500
201,0,5,5,85,167,0,0,3,-1,-1.000000,-1.000000,30,0,66,0,14,14,5,5,85,2.200000
202,0,363,428,488,404,24,14,3,4,2.000000,8.000000,45,31,57,3,3,6,363,428,488,1.266667
203,0,1,18,89,146,13,14,3,2,0.000000,0.000000,21,14,37,2,34,36,1,18,89,1.761905
204,0,1,19,76,14,17,12,3,4,0.000000,0.000000,28,10,52,8,5,13,1,19,76,1.857143
205,0,1,2,35,358,0,1,3,3,0.000000,0.000000,29,1,33,0,0,0,1,2,35,1.137931
206,0,1,3,19,6,1,7,3,4,0.000000,0.000000,14,2,16,0,0,0,1,3,19,1.142857
207,0,1,10,63,282,9,13,3,4,0.000000,0.000000,18,9,38,0,15,15,1,10,63,2.111111
208,0,1,10,57,188,6,6,3,4,0.000000,0.000000,29,8,43,1,4,5,1,10,57,1.482759
209,0,45,63,120,28,13,18,3,2,1.000000,3.000000,44,11,56,4,1,5,45,63,120,1.272727
210,0,154,179,254,326,14,4,3,3,1.000000,1.000000,34,17,54,0,21,21,154,179,254,1.588235
211,0,1,61,105,333,22,8,3,4,0.000000,0.000000,33,29,37,10,7,17,1,61,105,1.121212
212,0,1,6,26,93,4,2,3,3,0.000000,0.000000,17,5,19,0,1,1,1,6,26,1.117647
