timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,500,0,463,37,0,0.9162049
2,0,750,500,0,428,72,49,0.9163539
3,0,750,500,0,396,104,123,0.9165896
4,0,750,500,0,359,141,179,0.917021
5,0,750,500,0,326,174,263,0.9160424
6,0,750,500,0,293,207,350,0.9163884
7,0,750,500,0,267,233,445,0.9173197
8,2,750,498,2,240,258,555,0.9162319
9,2,750,500,0,216,284,647,0.9163413
10,2,750,500,0,187,313,738,0.9167414
11,2,750,500,0,166,334,822,0.9164704
12,2,750,500,0,147,353,902,0.9164205
13,4,750,498,2,128,370,999,0.916642
14,4,750,500,0,110,390,1076,0.9169902
15,7,750,497,3,91,406,1150,0.9172574
16,10,750,497,3,84,413,1221,0.9165453
17,17,750,493,7,76,417,1286,0.916288
18,20,750,497,3,72,425,1351,0.9163353
19,27,750,493,7,66,427,1416,0.9162987
20,35,750,492,8,63,429,1457,0.9165572
21,42,750,493,7,63,430,1511,0.9163512
22,45,750,497,3,66,431,1572,0.9163727
23,53,750,492,8,64,428,1624,0.9174793
24,62,750,491,9,67,424,1688,0.9167339
25,71,750,491,9,70,421,1751,0.9179355
26,79,750,492,8,75,417,1816,0.9165121
27,86,750,493,7,78,415,1876,0.9171921
28,99,750,487,13,83,404,1941,0.916622
29,110,750,489,11,88,401,2005,0.9165628
30,121,750,489,11,95,394,2078,0.9166473
31,133,750,488,12,101,387,2141,0.9167317
32,142,750,491,9,109,382,2212,0.917451
33,150,750,492,8,116,376,2282,0.9169134
34,160,750,490,10,120,370,2348,0.9172569
35,168,750,492,8,128,364,2426,0.9170123
36,176,750,492,8,132,360,2503,0.9166295
37,188,750,488,12,137,351,2589,0.9170683
38,194,750,494,6,141,353,2679,0.9165709
39,201,750,493,7,143,350,2768,0.9162177
40,212,750,489,11,142,347,2843,0.9166794
41,219,750,493,7,148,345,2942,0.9173349
42,228,750,491,9,154,337,3041,0.916719
43,241,750,487,13,159,328,3137,0.9164967
44,248,750,493,7,166,327,3235,0.9169269
45,261,750,487,13,167,320,3345,0.9169576
46,268,750,493,7,174,319,3436,0.9162415
47,272,750,496,4,175,321,3541,0.9165223
48,276,750,496,4,173,323,3631,0.9165702
49,286,750,490,10,170,320,3724,0.9170418
50,291,750,495,5,176,319,3832,0.9167819
51,299,750,492,8,177,315,3941,0.9169973
52,309,750,490,10,183,307,4035,0.9170518
53,315,750,494,6,184,310,4133,0.9166887
54,319,750,496,4,184,312,4249,0.9174301
55,324,750,495,5,181,314,4366,0.9168336
56,333,750,491,9,181,310,4485,0.9165168
57,340,750,493,7,187,306,4605,0.9165353
58,346,750,494,6,182,312,4719,0.9162875
59,354,750,492,8,185,307,4834,0.9171052
60,357,750,497,3,182,315,4943,0.9170353
61,364,750,493,7,181,312,5046,0.9168483
62,375,750,489,11,178,311,5168,0.9168078
63,383,750,492,8,186,306,5272,0.9169365
64,388,750,495,5,189,306,5376,0.9171298
65,397,750,491,9,188,303,5464,0.9167003
66,404,750,493,7,193,300,5579,0.9165216
67,409,750,495,5,197,298,5689,0.9167599
68,414,750,495,5,198,297,5804,0.9168481
69,422,750,492,8,200,292,5913,0.9161727
70,428,750,494,6,200,294,6008,0.9170683
71,437,750,491,9,200,291,6117,0.916829
72,441,750,496,4,201,295,6225,0.9168677
73,446,750,495,5,201,294,6314,0.9168504
74,452,750,494,6,197,297,6403,0.9171918
75,457,750,495,5,196,299,6502,0.9165189
76,467,750,490,10,194,296,6600,0.9161983
77,470,750,497,3,196,301,6726,0.9171387
78,475,750,495,5,188,307,6821,0.9165634
79,482,750,493,7,184,309,6922,0.9163885
80,487,750,495,5,186,309,7027,0.9167619
81,494,750,493,7,185,308,7119,0.9162973
82,498,750,496,4,186,310,7210,0.9172684
83,501,750,497,3,182,315,7294,0.9172651
84,511,750,490,10,179,311,7389,0.9174738
85,521,750,490,10,185,305,7492,0.9171359
86,527,750,494,6,183,311,7583,0.9170883
87,533,750,494,6,188,306,7690,0.9168727
88,538,750,495,5,185,310,7814,0.9170235
89,544,750,494,6,183,311,7927,0.9171221
90,548,750,496,4,182,314,8045,0.9177012
91,554,750,494,6,180,314,8169,0.9167677
92,560,750,494,6,181,313,8267,0.9167604
93,567,750,493,7,183,310,8363,0.9164822
94,571,750,496,4,183,313,8474,0.916552
95,574,750,497,3,182,315,8582,0.9171535
96,579,750,495,5,178,317,8694,0.917141
97,584,750,495,5,176,319,8811,0.9166497
98,590,750,494,6,174,320,8917,0.916894
99,599,750,491,9,176,315,9019,0.9171871
100,605,750,494,6,180,314,9121,0.916832
101,611,750,494,6,180,314,9244,0.9167234
102,617,750,494,6,179,315,9356,0.9171333
103,620,750,497,3,179,318,9468,0.9173873
104,626,750,494,6,174,320,9574,0.916811
105,629,750,497,3,177,320,9683,0.9165017
106,632,750,497,3,180,317,9795,0.9166951
107,638,750,494,6,182,312,9905,0.9167238
108,643,750,495,5,182,313,10014,0.917141
109,645,750,498,2,181,317,10132,0.9165498
110,649,750,496,4,176,320,10233,0.9165941
111,652,750,497,3,178,319,10351,0.9165892
112,658,750,494,6,178,316,10453,0.9169978
113,664,750,494,6,182,312,10563,0.9169178
114,668,750,496,4,183,313,10676,0.9166059
115,673,750,495,5,183,312,10791,0.9169618
116,676,750,497,3,184,313,10896,0.9168796
117,682,750,494,6,184,310,11016,0.9171261
118,690,750,492,8,185,307,11123,0.9171439
119,696,750,494,6,190,304,11244,0.9171008
120,701,750,495,5,193,302,11347,0.9172455
121,704,750,497,3,195,302,11443,0.9171254
122,711,750,493,7,193,300,11537,0.9167295
123,714,750,497,3,198,299,11633,0.9168099
124,718,750,496,4,196,300,11729,0.9169695
125,725,750,493,7,191,302,11849,0.9163162
126,729,750,496,4,192,304,11950,0.9165744
127,734,750,495,5,191,304,12069,0.916935
128,743,750,491,9,191,300,12186,0.9166558
129,747,750,496,4,192,304,12306,0.9166749
130,753,750,494,6,189,305,12435,0.9162773
131,760,750,493,7,193,300,12538,0.9167732
132,766,750,494,6,194,300,12640,0.9162831
133,773,750,493,7,196,297,12738,0.9169282
134,783,750,490,10,198,292,12840,0.9172805
135,787,750,496,4,202,294,12938,0.9165146
136,790,750,497,3,202,295,13050,0.916859
137,798,750,492,8,204,288,13164,0.9164191
138,803,750,495,5,208,287,13272,0.9168841
139,806,750,497,3,207,290,13382,0.9168625
140,812,750,494,6,204,290,13507,0.9164115
141,821,750,491,9,205,286,13620,0.917133
142,825,750,496,4,209,287,13734,0.9165236
143,830,750,495,5,207,288,13860,0.9168339
144,838,750,492,8,209,283,13976,0.9168757
145,843,750,495,5,212,283,14054,0.9167404
146,848,750,495,5,208,287,14150,0.9169903
147,855,750,493,7,208,285,14259,0.9164165
148,867,750,488,12,211,277,14356,0.916287
149,876,750,491,9,221,270,14473,0.9169542
150,882,750,494,6,225,269,14590,0.916943
151,890,750,492,8,224,268,14682,0.9170259
152,895,750,495,5,224,271,14782,0.9173718
153,899,750,496,4,221,275,14902,0.9167625
154,905,750,494,6,219,275,15018,0.9172568
155,908,750,497,3,218,279,15121,0.917035
156,911,750,497,3,217,280,15233,0.9166916
157,916,750,495,5,217,278,15341,0.9162586
158,925,750,491,9,219,272,15452,0.9167405
159,932,750,493,7,222,271,15557,0.9170699
160,940,750,492,8,223,269,15672,0.9169156
161,943,750,497,3,221,276,15785,0.9171526
162,949,750,494,6,222,272,15896,0.916587
163,952,750,497,3,224,273,15998,0.9171242
164,960,750,492,8,223,269,16108,0.9165066
165,969,750,491,9,227,264,16205,0.9169436
166,977,750,492,8,230,262,16305,0.9166521
167,982,750,495,5,235,260,16419,0.9162151
168,990,750,492,8,231,261,16517,0.9163075
169,995,750,495,5,228,267,16596,0.9169456
170,998,750,497,3,227,270,16710,0.917074
171,1009,750,489,11,225,264,16803,0.9171277
172,1023,750,486,14,230,256,16892,0.9163631
173,1026,750,497,3,234,263,16989,0.916483
174,1033,750,493,7,229,264,17087,0.9164796
175,1035,750,498,2,226,272,17181,0.9166425
176,1041,750,494,6,219,275,17288,0.9164554
177,1044,750,497,3,217,280,17400,0.9163879
178,1053,750,491,9,214,277,17509,0.9167673
179,1062,750,491,9,215,276,17616,0.9169603
180,1070,750,492,8,217,275,17710,0.916351
181,1074,750,496,4,218,278,17829,0.9171781
182,1077,750,497,3,218,279,17933,0.9163174
183,1083,750,494,6,215,279,18047,0.9166919
184,1091,750,492,8,214,278,18151,0.9164044
185,1102,750,489,11,216,273,18248,0.9171765
186,1109,750,493,7,221,272,18332,0.9163562
187,1114,750,495,5,218,277,18424,0.9173355
188,1118,750,496,4,215,281,18529,0.9174298
189,1127,750,491,9,213,278,18614,0.9171023
190,1135,750,492,8,216,276,18705,0.9163477
191,1140,750,495,5,216,279,18797,0.9165919
192,1143,750,497,3,215,282,18891,0.9172117
193,1148,750,495,5,210,285,18980,0.9167983
194,1153,750,495,5,207,288,19080,0.9172618
195,1159,750,494,6,206,288,19169,0.9174609
196,1169,750,490,10,205,285,19246,0.9170102
197,1174,750,495,5,208,287,19338,0.9163685
198,1179,750,495,5,204,291,19423,0.916207
199,1186,750,493,7,203,290,19516,0.9168234
200,1192,750,494,6,202,292,19594,0.9171786
201,1200,750,492,8,203,289,19678,0.9169171
202,1201,750,499,1,206,293,19783,0.9166358
203,1207,750,494,6,203,291,19883,0.917026
204,1214,750,493,7,204,289,19978,0.9170889
205,1221,750,493,7,199,294,20069,0.9164348
206,1228,750,493,7,200,293,20153,0.916705
207,1233,750,495,5,201,294,20243,0.916417
208,1240,750,493,7,197,296,20357,0.9169237
209,1246,750,494,6,196,298,20439,0.9167879
210,1252,750,494,6,196,298,20513,0.9166328
211,1259,750,493,7,196,297,20600,0.9166274
212,1268,750,491,9,194,297,20687,0.9164719
213,1273,750,495,5,197,298,20792,0.9168926
214,1279,750,494,6,198,296,20872,0.9165842
215,1289,750,490,10,195,295,20955,0.9166028
216,1291,750,498,2,197,301,21035,0.9163162
217,1297,750,494,6,192,302,21133,0.9170433
218,1302,750,495,5,193,302,21205,0.9169179
219,1307,750,495,5,193,302,21288,0.9163864
220,1315,750,492,8,190,302,21370,0.9163243
221,1318,750,497,3,185,312,21440,0.9167458
222,1326,750,492,8,183,309,21522,0.9169411
223,1334,750,492,8,181,311,21603,0.9172625
224,1338,750,496,4,186,310,21688,0.9167385
225,1342,750,496,4,183,313,21764,0.9181876
226,1348,750,494,6,183,311,21854,0.9165595
227,1352,750,496,4,188,308,21925,0.9169498
228,1358,750,494,6,184,310,22018,0.916505
229,1367,750,491,9,185,306,22096,0.9166974
230,1376,750,491,9,185,306,22181,0.9165331
231,1385,750,491,9,190,301,22257,0.9168239
232,1389,750,496,4,192,304,22345,0.9171567
233,1392,750,497,3,192,305,22415,0.917247
234,1400,750,492,8,187,305,22514,0.9172832
235,1405,750,495,5,187,308,22596,0.9173362
236,1412,750,493,7,186,307,22675,0.9169806
237,1421,750,491,9,186,305,22756,0.9169669
238,1424,750,497,3,190,307,22848,0.9168589
239,1430,750,494,6,188,306,22948,0.9162978
240,1436,750,494,6,187,307,23048,0.9172766
241,1441,750,495,5,188,307,23146,0.9170652
242,1450,750,491,9,190,301,23230,0.9167084
243,1456,750,494,6,190,304,23323,0.9171676
244,1464,750,492,8,189,303,23408,0.9169262
245,1466,750,498,2,194,304,23482,0.9165733
246,1469,750,497,3,194,303,23561,0.9167542
247,1475,750,494,6,191,303,23638,0.9170972
248,1483,750,492,8,190,302,23724,0.9164515
249,1491,750,492,8,191,301,23832,0.9166885
250,1499,750,492,8,194,298,23927,0.9162795
251,1504,750,495,5,198,297,24019,0.9164512
252,1507,750,497,3,194,303,24101,0.9164428
253,1513,750,494,6,193,301,24204,0.9168831
254,1518,750,495,5,192,303,24289,0.9168733
255,1524,750,494,6,192,302,24368,0.9164847
256,1530,750,494,6,190,304,24451,0.9165222
257,1537,750,493,7,192,301,24527,0.9165344
258,1541,750,496,4,192,304,24618,0.916517
259,1544,750,497,3,191,306,24702,0.9172413
260,1552,750,492,8,192,300,24784,0.9164592
261,1559,750,493,7,193,300,24880,0.9165447
262,1562,750,497,3,195,302,24979,0.9165896
263,1568,750,494,6,190,304,25077,0.9164365
264,1577,750,491,9,190,301,25164,0.9165324
265,1582,750,495,5,188,307,25259,0.9169421
266,1588,750,494,6,185,309,25354,0.9162791
267,1593,750,495,5,183,312,25461,0.9170996
268,1597,750,496,4,183,313,25553,0.916437
269,1606,750,491,9,184,307,25640,0.9171399
270,1609,750,497,3,184,313,25710,0.9169595
271,1615,750,494,6,181,313,25801,0.916943
272,1621,750,494,6,182,312,25908,0.9171361
273,1628,750,493,7,179,314,26003,0.9171189
274,1633,750,495,5,185,310,26093,0.9172408
275,1642,750,491,9,185,306,26191,0.9172422
276,1645,750,497,3,188,309,26280,0.9166396
277,1653,750,492,8,185,307,26365,0.9166225
278,1660,750,493,7,186,307,26458,0.9163686
279,1667,750,493,7,188,305,26560,0.9167749
280,1675,750,492,8,190,302,26650,0.9165142
281,1682,750,493,7,190,303,26734,0.9169213
282,1684,750,498,2,193,305,26823,0.9163539
283,1693,750,491,9,190,301,26924,0.9169601
284,1701,750,492,8,195,297,27000,0.9165222
285,1710,750,491,9,197,294,27079,0.9172188
286,1718,750,492,8,198,294,27170,0.9170493
287,1722,750,496,4,202,294,27255,0.9163179
288,1728,750,494,6,199,295,27351,0.9170996
289,1736,750,492,8,200,292,27450,0.9174495
290,1744,750,492,8,204,288,27564,0.9164312
291,1750,750,494,6,206,288,27663,0.9166756
292,1754,750,496,4,202,294,27758,0.9171968
293,1763,750,491,9,201,290,27849,0.9167628
294,1767,750,496,4,205,291,27927,0.9169549
295,1775,750,492,8,204,288,28025,0.9170765
296,1782,750,493,7,207,286,28117,0.9169389
297,1790,750,492,8,210,282,28221,0.9162924
298,1796,750,494,6,210,284,28332,0.9162898
299,1802,750,494,6,209,285,28434,0.9171346
300,1808,750,494,6,206,288,28526,0.9165412
301,1810,750,498,2,206,292,28626,0.9166127
302,1816,750,494,6,202,292,28721,0.9168306
303,1819,750,497,3,204,293,28803,0.9163028
304,1824,750,495,5,200,295,28893,0.9166554
305,1831,750,493,7,203,290,28979,0.9162642
306,1840,750,491,9,208,283,29083,0.916506
