timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,500,0,463,37,0,0.9164591
2,0,750,500,0,429,71,45,0.9161663
3,0,750,500,0,397,103,107,0.9159781
4,0,750,500,0,362,138,186,0.9168324
5,0,750,500,0,328,172,269,0.9170111
6,0,750,500,0,297,203,367,0.9169281
7,0,750,500,0,269,231,466,0.9169624
8,0,750,500,0,247,253,557,0.9168951
9,0,750,500,0,219,281,644,0.9171156
10,2,750,498,2,195,303,749,0.9165602
11,2,750,500,0,174,326,840,0.9170682
12,3,750,499,1,155,344,926,0.9171754
13,5,750,498,2,137,361,1032,0.9164412
14,5,750,500,0,122,378,1124,0.917075
15,7,750,498,2,106,392,1209,0.9172119
16,9,750,498,2,97,401,1287,0.9174911
17,10,750,499,1,87,412,1354,0.9170954
18,13,750,497,3,76,421,1413,0.9170054
19,19,750,494,6,64,430,1475,0.9180357
20,21,750,498,2,60,438,1536,0.9177515
21,25,750,496,4,56,440,1589,0.91703
22,28,750,497,3,52,445,1658,0.9173473
23,32,750,496,4,48,448,1727,0.9179886
24,41,750,491,9,48,443,1799,0.9188385
25,48,750,493,7,53,440,1844,0.9175374
26,54,750,494,6,55,439,1905,0.9179282
27,68,750,486,14,60,426,1969,0.9173363
28,78,750,490,10,70,420,2027,0.9171687
29,84,750,494,6,76,418,2090,0.9172024
30,91,750,493,7,81,412,2152,0.9172748
31,101,750,490,10,84,406,2210,0.9170894
32,105,750,496,4,94,402,2261,0.9171344
33,112,750,493,7,94,399,2328,0.9169873
34,119,750,493,7,98,395,2387,0.9170553
35,122,750,497,3,103,394,2451,0.9170749
36,134,750,488,12,103,385,2518,0.9171173
37,139,750,495,5,113,382,2588,0.9165405
38,148,750,491,9,112,379,2655,0.9169716
39,155,750,493,7,117,376,2720,0.9170804
40,160,750,495,5,120,375,2799,0.917187
41,164,750,496,4,120,376,2885,0.9169058
42,171,750,493,7,115,378,2954,0.9171052
43,178,750,493,7,120,373,3033,0.9169953
44,181,750,497,3,125,372,3130,0.9173781
45,190,750,491,9,124,367,3213,0.9170205
46,199,750,491,9,131,360,3297,0.9170121
47,204,750,495,5,136,359,3388,0.9169128
48,210,750,494,6,136,358,3483,0.9170511
49,214,750,496,4,137,359,3578,0.9171824
50,224,750,490,10,139,351,3654,0.9165888
51,229,750,495,5,138,357,3728,0.917346
52,234,750,495,5,140,355,3802,0.9166128
53,239,750,495,5,143,352,3895,0.9169156
54,252,750,487,13,142,345,3993,0.9169676
55,258,750,494,6,148,346,4088,0.9172574
56,263,750,495,5,149,346,4191,0.9170973
57,273,750,490,10,151,339,4291,0.9170785
58,279,750,494,6,158,336,4372,0.9177908
59,283,750,496,4,159,337,4452,0.9177891
60,287,750,496,4,158,338,4533,0.9176204
61,291,750,496,4,156,340,4618,0.9173021
62,300,750,491,9,155,336,4705,0.9170816
63,306,750,494,6,157,337,4790,0.917042
64,316,750,490,10,156,334,4881,0.9172301
65,324,750,492,8,160,332,4978,0.9170679
66,329,750,495,5,162,333,5060,0.9171407
67,340,750,489,11,162,327,5150,0.9172964
68,349,750,491,9,167,324,5243,0.9172574
69,353,750,496,4,170,326,5331,0.9170277
70,357,750,496,4,170,326,5423,0.9172706
71,361,750,496,4,169,327,5515,0.9172622
72,372,750,489,11,162,327,5597,0.9175733
73,376,750,496,4,163,333,5683,0.9172369
74,382,750,494,6,160,334,5779,0.9171911
75,389,750,493,7,158,335,5873,0.9173696
76,396,750,493,7,162,331,5951,0.916533
77,397,750,499,1,161,338,6064,0.9171142
78,404,750,493,7,155,338,6158,0.9172055
79,412,750,492,8,156,336,6272,0.9172067
80,415,750,497,3,160,337,6369,0.9173768
81,419,750,496,4,158,338,6463,0.9177382
82,423,750,496,4,157,339,6575,0.9167367
83,429,750,494,6,156,338,6664,0.9173192
84,438,750,491,9,158,333,6777,0.917355
85,447,750,491,9,166,325,6903,0.9163318
86,454,750,493,7,171,322,7038,0.9173479
87,459,750,495,5,174,321,7161,0.9172099
88,466,750,493,7,174,319,7274,0.9162903
89,473,750,493,7,172,321,7381,0.9164292
90,482,750,491,9,172,319,7493,0.9165666
91,494,750,488,12,175,313,7586,0.9169331
92,497,750,497,3,180,317,7690,0.9166624
93,507,750,490,10,180,310,7791,0.9166631
94,513,750,494,6,185,309,7896,0.9176285
95,518,750,495,5,188,307,8000,0.9167429
96,524,750,494,6,189,305,8086,0.9174225
97,532,750,492,8,188,304,8193,0.918062
98,534,750,498,2,193,305,8317,0.9163756
99,540,750,494,6,187,307,8422,0.9164327
100,547,750,493,7,188,305,8528,0.9169156
101,553,750,494,6,195,299,8634,0.9170999
102,556,750,497,3,194,303,8733,0.916752
103,568,750,488,12,192,296,8841,0.9168417
104,575,750,493,7,198,295,8926,0.9173839
105,577,750,498,2,197,301,9016,0.9170248
106,582,750,495,5,191,304,9110,0.9167966
107,590,750,492,8,190,302,9210,0.9167586
108,596,750,494,6,194,300,9307,0.9171702
