timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,500,0,463,37,0,0.9162972
2,0,750,500,0,430,70,47,0.9160715
3,0,750,500,0,398,102,111,0.9172322
4,0,750,500,0,362,138,180,0.9161216
5,0,750,500,0,327,173,266,0.9171099
6,0,750,500,0,297,203,349,0.9170302
7,0,750,500,0,267,233,428,0.917041
8,0,750,500,0,243,257,509,0.917298
9,0,750,500,0,221,279,594,0.9170494
10,1,750,499,1,199,300,692,0.9169405
11,2,750,499,1,181,318,801,0.9171893
12,2,750,500,0,161,339,877,0.9170922
13,2,750,500,0,141,359,965,0.9170385
14,3,750,499,1,122,377,1040,0.9171572
15,4,750,499,1,105,394,1110,0.9171822
16,7,750,497,3,87,410,1183,0.9170506
17,10,750,497,3,76,421,1244,0.9169383
18,14,750,496,4,71,425,1315,0.9170979
19,18,750,496,4,66,430,1377,0.9170386
20,21,750,497,3,61,436,1444,0.9172118
21,29,750,492,8,59,433,1509,0.9175799
22,31,750,498,2,62,436,1560,0.91732
23,34,750,497,3,62,435,1615,0.9171277
24,40,750,494,6,62,432,1674,0.9170139
25,47,750,493,7,63,430,1736,0.9168792
26,55,750,492,8,63,429,1796,0.9172514
27,61,750,494,6,68,426,1853,0.9171077
28,73,750,488,12,71,417,1918,0.9178178
29,83,750,490,10,77,413,1983,0.9171223
30,92,750,491,9,83,408,2036,0.9171224
31,100,750,492,8,88,404,2106,0.9170546
32,110,750,490,10,91,399,2169,0.9169596
33,118,750,492,8,94,398,2229,0.9169242
34,127,750,491,9,101,390,2297,0.9170064
35,131,750,496,4,106,390,2365,0.9170123
36,139,750,492,8,105,387,2445,0.9170121
37,145,750,494,6,109,385,2511,0.9171542
38,152,750,493,7,111,382,2579,0.9175582
39,158,750,494,6,118,376,2659,0.916937
40,167,750,491,9,120,371,2739,0.9169752
41,174,750,493,7,126,367,2814,0.9170009
42,180,750,494,6,129,365,2907,0.9171176
43,185,750,495,5,131,364,2992,0.9170741
44,193,750,492,8,133,359,3078,0.9170839
45,199,750,494,6,137,357,3165,0.917114
46,204,750,495,5,139,356,3243,0.9169505
47,208,750,496,4,135,361,3324,0.9171334
48,215,750,493,7,134,359,3404,0.9177115
49,219,750,496,4,137,359,3491,0.9169927
50,228,750,491,9,136,355,3552,0.9169661
51,238,750,490,10,141,349,3610,0.9170368
52,243,750,495,5,150,345,3694,0.9170601
53,250,750,493,7,148,345,3789,0.9170927
54,257,750,493,7,153,340,3876,0.9169244
55,262,750,495,5,156,339,3958,0.9169674
56,269,750,493,7,156,337,4036,0.9173154
57,277,750,492,8,159,333,4131,0.9171957
58,285,750,492,8,161,331,4215,0.9169507
59,294,750,491,9,159,332,4303,0.9172063
60,297,750,497,3,163,334,4398,0.9172698
61,301,750,496,4,160,336,4498,0.9172803
62,310,750,491,9,160,331,4577,0.9162451
63,319,750,491,9,165,326,4670,0.9170396
64,320,750,499,1,172,327,4763,0.9166321
65,322,750,498,2,168,330,4855,0.9175057
66,328,750,494,6,166,328,4934,0.9171963
67,337,750,491,9,165,326,5014,0.9169602
68,342,750,495,5,165,330,5103,0.9171847
69,347,750,495,5,164,331,5198,0.9170597
70,357,750,490,10,163,327,5278,0.9170572
71,367,750,490,10,168,322,5366,0.9170969
72,373,750,494,6,173,321,5462,0.9171374
73,382,750,491,9,172,319,5542,0.9171084
74,388,750,494,6,174,320,5627,0.9173048
75,394,750,494,6,171,323,5716,0.9169425
76,405,750,489,11,172,317,5799,0.9173287
77,408,750,497,3,179,318,5888,0.9171238
78,415,750,493,7,175,318,5980,0.9171237
79,420,750,495,5,176,319,6069,0.9171189
80,427,750,493,7,177,316,6146,0.9171243
81,430,750,497,3,178,319,6235,0.9169613
82,434,750,496,4,172,324,6326,0.9171696
83,443,750,491,9,168,323,6419,0.9170094
84,454,750,489,11,171,318,6518,0.9172114
85,462,750,492,8,178,314,6625,0.9174467
86,473,750,489,11,182,307,6712,0.9165165
87,481,750,492,8,188,304,6796,0.9172002
88,490,750,491,9,191,300,6891,0.9171865
89,493,750,497,3,196,301,6993,0.9165561
90,497,750,496,4,192,304,7075,0.9165983
91,505,750,492,8,192,300,7160,0.9172176
92,513,750,492,8,188,304,7252,0.9171917
93,518,750,495,5,191,304,7340,0.9175245
94,525,750,493,7,191,302,7447,0.9162847
95,531,750,494,6,193,301,7543,0.9172315
96,533,750,498,2,188,310,7644,0.9163926
97,540,750,493,7,183,310,7735,0.9174153
98,547,750,493,7,178,315,7828,0.9166985
99,551,750,496,4,181,315,7914,0.9163619
100,561,750,490,10,182,308,8021,0.9163372
101,567,750,494,6,186,308,8100,0.9165507
102,575,750,492,8,183,309,8184,0.9165913
103,578,750,497,3,184,313,8290,0.9165562
104,583,750,495,5,183,312,8379,0.916568
105,589,750,494,6,182,312,8469,0.9164858
106,595,750,494,6,184,310,8585,0.9172076
107,604,750,491,9,184,307,8695,0.9163845
108,611,750,493,7,187,306,8767,0.916607
109,616,750,495,5,189,306,8865,0.9167396
110,621,750,495,5,187,308,8978,0.9167767
111,626,750,495,5,182,313,9083,0.9178497
112,635,750,491,9,181,310,9189,0.9165529
113,643,750,492,8,189,303,9274,0.9166394
114,649,750,494,6,195,299,9369,0.9166293
115,654,750,495,5,194,301,9469,0.9168085
116,659,750,495,5,194,301,9566,0.9165533
117,663,750,496,4,188,308,9662,0.9167728
118,667,750,496,4,185,311,9752,0.9165327
119,672,750,495,5,179,316,9845,0.9166544
120,677,750,495,5,178,317,9943,0.9168224
121,681,750,496,4,180,316,10046,0.9166193
122,688,750,493,7,178,315,10148,0.9167053
123,694,750,494,6,177,317,10249,0.9166987
124,705,750,489,11,179,310,10348,0.916657
125,708,750,497,3,187,310,10450,0.9169443
126,715,750,493,7,187,306,10554,0.9173737
127,719,750,496,4,190,306,10649,0.9167894
128,724,750,495,5,186,309,10753,0.9168763
129,732,750,492,8,187,305,10862,0.9169955
130,736,750,496,4,190,306,10954,0.9167033
131,741,750,495,5,189,306,11053,0.9167728
132,749,750,492,8,189,303,11134,0.9170086
133,756,750,493,7,188,305,11214,0.9169642
134,762,750,494,6,188,306,11283,0.9167391
135,769,750,493,7,185,308,11372,0.9167113
136,778,750,491,9,188,303,11465,0.9170365
137,783,750,495,5,192,303,11552,0.9167391
138,790,750,493,7,193,300,11633,0.9170567
