timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,500,0,463,37,0,0.9163593
2,0,750,500,0,428,72,42,0.9166246
3,0,750,500,0,396,104,101,0.9165033
4,0,750,500,0,361,139,164,0.9160111
5,0,750,500,0,325,175,236,0.91639
6,0,750,500,0,296,204,351,0.9160625
7,0,750,500,0,268,232,448,0.9165734
8,2,750,498,2,242,256,547,0.916632
9,2,750,500,0,216,284,640,0.9168009
10,2,750,500,0,192,308,726,0.916864
11,2,750,500,0,171,329,819,0.9163695
12,3,750,499,1,153,346,931,0.9169106
13,5,750,498,2,138,360,1035,0.9162696
14,6,750,499,1,119,380,1109,0.91646
15,10,750,496,4,99,397,1169,0.9165714
16,14,750,496,4,89,407,1237,0.9166148
17,20,750,494,6,86,408,1321,0.9167498
18,22,750,498,2,81,417,1387,0.9168493
19,25,750,497,3,71,426,1445,0.9173046
20,34,750,491,9,65,426,1491,0.9168858
21,38,750,496,4,68,428,1535,0.9170159
22,46,750,492,8,69,423,1583,0.9170131
23,54,750,492,8,72,420,1632,0.9168704
24,60,750,494,6,75,419,1680,0.9168953
25,70,750,490,10,72,418,1742,0.9163059
26,78,750,492,8,79,413,1800,0.91718
27,83,750,495,5,82,413,1875,0.916775
28,96,750,487,13,83,404,1937,0.9174228
29,106,750,490,10,94,396,1999,0.916199
30,112,750,494,6,99,395,2050,0.9168786
31,123,750,489,11,103,386,2117,0.9168329
32,137,750,486,14,108,378,2186,0.9164615
33,146,750,491,9,115,376,2259,0.916507
34,155,750,491,9,118,373,2340,0.9169201
35,163,750,492,8,118,374,2414,0.9168877
36,173,750,490,10,123,367,2504,0.9164545
37,185,750,488,12,129,359,2572,0.9165581
38,203,750,482,18,137,345,2657,0.9166194
39,212,750,491,9,152,339,2764,0.916924
40,217,750,495,5,156,339,2856,0.916847
41,227,750,490,10,155,335,2950,0.9168424
42,241,750,486,14,159,327,3048,0.9169639
43,248,750,493,7,170,323,3160,0.9162853
44,254,750,494,6,174,320,3256,0.9165293
45,261,750,493,7,173,320,3362,0.9163404
46,267,750,494,6,176,318,3451,0.9166077
47,274,750,493,7,177,316,3554,0.9166861
48,280,750,494,6,176,318,3661,0.9171417
49,283,750,497,3,175,322,3767,0.9163565
50,290,750,493,7,174,319,3861,0.91629
51,301,750,489,11,170,319,3942,0.9164691
52,308,750,493,7,177,316,4047,0.9170193
53,315,750,493,7,178,315,4145,0.9161712
54,323,750,492,8,181,311,4241,0.9161523
55,327,750,496,4,183,313,4357,0.9169516
56,333,750,494,6,184,310,4476,0.9168477
57,341,750,492,8,185,307,4574,0.9163014
58,348,750,493,7,187,306,4673,0.9171957
59,362,750,486,14,188,298,4788,0.9163271
60,372,750,490,10,197,293,4880,0.9171343
61,378,750,494,6,203,291,4979,0.9165489
62,385,750,493,7,204,289,5080,0.9163257
63,389,750,496,4,204,292,5192,0.9164332
64,395,750,494,6,199,295,5303,0.9167624
65,403,750,492,8,196,296,5410,0.9167744
66,410,750,493,7,197,296,5527,0.9168772
67,413,750,497,3,199,298,5640,0.9170574
68,418,750,495,5,196,299,5756,0.9169642
69,419,750,499,1,197,302,5852,0.9164982
70,426,750,493,7,194,299,5963,0.9167434
71,433,750,493,7,194,299,6052,0.9167994
72,435,750,498,2,195,303,6161,0.9169214
73,441,750,494,6,191,303,6287,0.9169136
74,448,750,493,7,187,306,6383,0.9166134
75,452,750,496,4,190,306,6500,0.9171161
76,458,750,494,6,187,307,6611,0.9164364
77,464,750,494,6,187,307,6714,0.9164872
78,472,750,492,8,189,303,6829,0.9171425
79,479,750,493,7,191,302,6926,0.9173585
80,483,750,496,4,192,304,7007,0.9168908
81,490,750,493,7,190,303,7102,0.9168354
82,494,750,496,4,191,305,7206,0.9167939
83,501,750,493,7,190,303,7293,0.9169157
84,507,750,494,6,192,302,7384,0.9164233
85,514,750,493,7,188,305,7493,0.91687
86,519,750,495,5,184,311,7602,0.9171076
87,526,750,493,7,182,311,7700,0.9172994
88,531,750,495,5,184,311,7811,0.9163296
89,536,750,495,5,183,312,7925,0.9163636
90,543,750,493,7,178,315,8026,0.9173727
91,549,750,494,6,180,314,8122,0.9170647
92,558,750,491,9,180,311,8214,0.9166892
93,562,750,496,4,183,313,8322,0.916913
94,568,750,494,6,185,309,8416,0.9164934
95,569,750,499,1,187,312,8533,0.9168919
96,574,750,495,5,183,312,8639,0.9168679
97,582,750,492,8,181,311,8756,0.9163616
