timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,500,0,463,37,0,0.9165476
2,0,750,500,0,428,72,50,0.9160539
3,0,750,500,0,396,104,108,0.9169585
4,0,750,500,0,363,137,204,0.9161085
5,0,750,500,0,331,169,302,0.9170229
6,0,750,500,0,300,200,389,0.9168936
7,0,750,500,0,274,226,499,0.9169396
8,0,750,500,0,247,253,605,0.917039
9,0,750,500,0,222,278,705,0.9170066
10,0,750,500,0,199,301,809,0.9169848
11,0,750,500,0,176,324,919,0.9168688
12,0,750,500,0,156,344,1019,0.9169905
13,0,750,500,0,138,362,1118,0.9169056
14,2,750,498,2,121,377,1194,0.9169461
15,5,750,497,3,110,387,1266,0.9170281
16,8,750,497,3,98,399,1345,0.9170534
17,9,750,499,1,87,412,1418,0.9170829
18,11,750,498,2,78,420,1496,0.9171468
19,12,750,499,1,72,427,1582,0.9170763
20,15,750,497,3,64,433,1662,0.9169826
21,19,750,496,4,61,435,1733,0.9170131
22,22,750,497,3,57,440,1791,0.9169566
23,31,750,491,9,54,437,1863,0.9172001
24,36,750,495,5,58,437,1941,0.9174298
25,41,750,495,5,56,439,2020,0.9170003
26,45,750,496,4,54,442,2081,0.9171507
27,51,750,494,6,55,439,2140,0.9169507
28,60,750,491,9,53,438,2196,0.9169181
29,72,750,488,12,61,427,2243,0.9169591
30,82,750,490,10,69,421,2304,0.9170823
31,88,750,494,6,77,417,2358,0.9172278
32,91,750,497,3,79,418,2413,0.9170822
33,99,750,492,8,77,415,2480,0.9171759
34,112,750,487,13,82,405,2538,0.9167706
35,119,750,493,7,92,401,2607,0.9170396
36,123,750,496,4,98,398,2662,0.9181601
37,129,750,494,6,98,396,2727,0.9173439
38,136,750,493,7,102,391,2787,0.917297
39,142,750,494,6,107,387,2863,0.917082
40,150,750,492,8,110,382,2944,0.9172519
41,158,750,492,8,115,377,3016,0.9172239
42,166,750,492,8,117,375,3091,0.9172535
43,173,750,493,7,120,373,3163,0.9171745
44,179,750,494,6,125,369,3234,0.9178214
45,189,750,490,10,126,364,3315,0.9171111
46,194,750,495,5,135,360,3389,0.9170036
