timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,750,500,0,463,37,0,0.9171631
2,0,750,500,0,428,72,44,0.9158803
3,0,750,500,0,400,100,106,0.9162942
4,0,750,500,0,363,137,176,0.916731
5,0,750,500,0,331,169,252,0.9165992
6,0,750,500,0,305,195,345,0.9161167
7,0,750,500,0,275,225,454,0.9166944
8,2,750,498,2,247,251,543,0.9169231
9,2,750,500,0,228,272,655,0.9165282
10,2,750,500,0,205,295,773,0.9171067
11,2,750,500,0,184,316,872,0.9174582
12,2,750,500,0,164,336,959,0.9166032
13,2,750,500,0,144,356,1040,0.9164106
14,3,750,499,1,126,373,1123,0.9166258
15,5,750,498,2,110,388,1199,0.917183
16,8,750,497,3,93,404,1269,0.9170954
17,12,750,496,4,80,416,1342,0.9169853
18,16,750,496,4,71,425,1409,0.9163118
19,23,750,493,7,63,430,1460,0.9170152
20,28,750,495,5,58,437,1508,0.9169565
21,36,750,492,8,57,435,1553,0.9168797
22,42,750,494,6,60,434,1602,0.9171404
23,52,750,490,10,61,429,1654,0.9164786
24,57,750,495,5,68,427,1701,0.9169213
25,72,750,485,15,66,419,1757,0.9177065
26,83,750,489,11,77,412,1800,0.9167488
27,91,750,492,8,79,413,1860,0.9164463
28,102,750,489,11,81,408,1909,0.9168006
29,109,750,493,7,90,403,1964,0.9169258
30,123,750,486,14,93,393,2043,0.9168061
31,130,750,493,7,102,391,2111,0.9168725
32,134,750,496,4,108,388,2184,0.9166964
33,139,750,495,5,110,385,2271,0.9169484
34,145,750,494,6,109,385,2338,0.917297
35,155,750,490,10,107,383,2403,0.9166957
36,171,750,484,16,113,371,2490,0.9166048
37,185,750,486,14,123,363,2568,0.9164752
38,196,750,489,11,134,355,2639,0.9171169
39,205,750,491,9,139,352,2723,0.9170791
40,209,750,496,4,146,350,2813,0.9167843
41,217,750,492,8,146,346,2912,0.9171879
42,225,750,492,8,151,341,3002,0.9165327
43,235,750,490,10,155,335,3086,0.9165029
44,247,750,488,12,158,330,3161,0.9161763
45,258,750,489,11,165,324,3251,0.9167851
46,263,750,495,5,172,323,3357,0.9163077
47,268,750,495,5,171,324,3461,0.917095
48,282,750,486,14,172,314,3560,0.9162788
49,293,750,489,11,179,310,3649,0.9163745
50,297,750,496,4,183,313,3755,0.9167899
51,311,750,486,14,179,307,3839,0.9167566
52,317,750,494,6,190,304,3932,0.9165534
53,321,750,496,4,189,307,4029,0.9165879
54,325,750,496,4,187,309,4131,0.9165349
55,332,750,493,7,186,307,4230,0.9166464
56,334,750,498,2,184,314,4331,0.916148
57,343,750,491,9,179,312,4441,0.9167875
58,351,750,492,8,179,313,4551,0.9170472
59,358,750,493,7,180,313,4664,0.9167512
60,364,750,494,6,179,315,4770,0.9162315
61,375,750,489,11,181,308,4893,0.9170333
62,384,750,491,9,187,304,5000,0.9168049
63,390,750,494,6,188,306,5113,0.9163303
64,396,750,494,6,191,303,5206,0.9170355
65,401,750,495,5,191,304,5319,0.9169579
66,410,750,491,9,193,298,5422,0.9170578
67,415,750,495,5,195,300,5534,0.9168239
68,421,750,494,6,192,302,5639,0.9166333
69,426,750,495,5,192,303,5738,0.9165701
70,430,750,496,4,188,308,5832,0.9163202
71,438,750,492,8,185,307,5946,0.9171056
72,445,750,493,7,188,305,6079,0.9166629
73,448,750,497,3,188,309,6182,0.916967
74,451,750,497,3,187,310,6288,0.916402
75,455,750,496,4,188,308,6400,0.9168272
76,457,750,498,2,183,315,6513,0.9164314
77,462,750,495,5,179,316,6607,0.9171292
78,468,750,494,6,176,318,6713,0.9169499
79,474,750,494,6,177,317,6837,0.9171982
80,481,750,493,7,177,316,6963,0.9163675
81,485,750,496,4,180,316,7092,0.9164946
82,489,750,496,4,178,318,7223,0.9163813
83,493,750,496,4,177,319,7325,0.9164188
84,500,750,493,7,176,317,7422,0.9167093
85,506,750,494,6,179,315,7514,0.9167763
86,513,750,493,7,179,314,7613,0.9168668
87,521,750,492,8,179,313,7719,0.9171067
88,524,750,497,3,181,316,7837,0.9171614
89,532,750,492,8,180,312,7968,0.916625
90,534,750,498,2,184,314,8089,0.9166675
91,540,750,494,6,179,315,8213,0.916567
92,546,750,494,6,179,315,8324,0.9166847
