"Warehouse","RouteWeight","FinishedTasks","PickupDistanceMean","CompletionP95","EmptyWait","LoadedWait","EmptyDistance","LoadedDetourMean","PlannerSecondsMean","EntryTimeouts","PlannerErrors","ScheduleErrors"
"500","0.05","615","5.424390243902439","87.0","4148","4414","13128","1.3813263439090928","0.9168802179999997","0","0","0"
"500","0.15","596","5.3389261744966445","92.0","4420","4613","12844","1.4109356270749391","0.9168638900000002","0","0","0"
"600","0.05","607","5.212520593080725","92.0","5363","7340","14269","1.4963618697996115","0.9162381180000001","0","0","0"
"600","0.15","619","5.348949919224555","92.0","5661","6786","14843","1.5083561423105245","0.9163105669999999","0","0","0"
