"CandidateFile","FlowFile","Frequency","Agents","Seed","CandidateActualMakespan","FlowActualMakespan","DeltaCandidateMinusFlow","CandidateLegacyMakespan","FlowLegacyMakespan"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_0.json","2","80","0","288","289","-1","234","231"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_1.json","2","80","1","286","286","0","224","234"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f2_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_2.json","2","80","2","291","290","1","243","237"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_0.json","5","100","0","186","175","11","180","171"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_1.json","5","100","1","180","176","4","167","173"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_2.json","5","100","2","181","180","1","172","167"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_0.json","5","50","0","270","281","-11","268","273"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_1.json","5","50","1","279","278","1","278","277"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_2.json","5","50","2","280","267","13","268","259"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_0.json","5","80","0","216","206","10","202","203"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_1.json","5","80","1","200","209","-9","191","204"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_screen\f5_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_2.json","5","80","2","201","194","7","194","193"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_0.json","10","100","0","171","169","2","161","165"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_1.json","10","100","1","169","176","-7","169","172"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_2.json","10","100","2","169","172","-3","169","169"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_0.json","10","50","0","270","272","-2","266","270"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_1.json","10","50","1","269","268","1","268","268"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_2.json","10","50","2","273","266","7","272","264"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_0.json","10","80","0","190","194","-4","189","193"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_1.json","10","80","1","196","201","-5","192","199"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f10_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_2.json","10","80","2","195","193","2","186","187"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_0.json","2","100","0","291","293","-2","219","229"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_1.json","2","100","1","290","287","3","210","222"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_2.json","2","100","2","287","284","3","230","214"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_0.json","2","50","0","310","306","4","309","297"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_1.json","2","50","1","314","307","7","303","296"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_2.json","2","50","2","307","298","9","304","291"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_0.json","2","80","0","289","289","0","233","231"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_1.json","2","80","1","288","286","2","239","234"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f2_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n80\flow_unit_2.json","2","80","2","286","290","-4","239","237"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_0.json","5","100","0","172","175","-3","168","171"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_1.json","5","100","1","181","176","5","177","173"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_2.json","5","100","2","174","180","-6","168","167"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_0.json","5","50","0","270","281","-11","269","273"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_1.json","5","50","1","287","278","9","287","277"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_2.json","5","50","2","278","267","11","271","259"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_0.json","5","80","0","196","206","-10","193","203"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_1.json","5","80","1","205","209","-4","199","204"
"C:\gitcloud\LifelongTA\results\table2_wait_priority_screen\f5_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n80\flow_unit_2.json","5","80","2","206","194","12","195","193"
