"CandidateFile","FlowFile","Frequency","Agents","Seed","CandidateActualMakespan","FlowActualMakespan","DeltaCandidateMinusFlow","CandidateLegacyMakespan","FlowLegacyMakespan"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f10_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_1.json","10","50","1","271","268","3","265","268"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f10_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_2.json","10","50","2","272","266","6","261","264"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f2_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_0.json","2","100","0","289","293","-4","221","229"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f2_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_1.json","2","100","1","286","287","-1","239","222"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f2_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_2.json","2","100","2","283","284","-1","212","214"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f5_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_0.json","5","100","0","183","175","8","175","171"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f5_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_1.json","5","100","1","175","176","-1","167","173"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f5_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n100\flow_unit_2.json","5","100","2","175","180","-5","164","167"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f5_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_0.json","5","50","0","276","281","-5","276","273"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f5_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_1.json","5","50","1","276","278","-2","268","277"
"C:\gitcloud\LifelongTA\results\table2_guide_regret_screen\f5_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f5_n50\flow_unit_2.json","5","50","2","283","267","16","265","259"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_0.json","10","100","0","176","169","7","175","165"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_1.json","10","100","1","176","176","0","174","172"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n100\flow_unit_2.json","10","100","2","162","172","-10","162","169"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_0.json","10","50","0","273","272","1","267","270"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_1.json","10","50","1","278","268","10","269","268"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n50\flow_unit_2.json","10","50","2","266","266","0","261","264"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n80\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_0.json","10","80","0","195","194","1","191","193"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n80\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_1.json","10","80","1","189","201","-12","187","199"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f10_n80\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f10_n80\flow_unit_2.json","10","80","2","195","193","2","181","187"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n100\seed_0.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_0.json","2","100","0","290","293","-3","225","229"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n100\seed_1.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_1.json","2","100","1","285","287","-2","222","222"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n100\seed_2.json","C:\gitcloud\LifelongTA\results\table2_fixed_paired\f2_n100\flow_unit_2.json","2","100","2","286","284","2","231","214"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n50\seed_0.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_0.json","2","50","0","302","306","-4","296","297"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n50\seed_1.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_1.json","2","50","1","314","307","7","313","296"
"C:\gitcloud\LifelongTA\results\table2_planner_aware_gated_screen\f2_n50\seed_2.json","C:\gitcloud\LifelongTA\results\table2_f2_n50_flow_unit\flow_unit_2.json","2","50","2","312","298","14","290","291"
