"ResultFile","ResultRoot","LegacyMakespan","FinishedTasks","TaskMetricFile","TaskRows","UnfinishedTasks","ActualMakespan","AllTasksCompleted","DeltaActualMinusLegacy","PlannerErrors","ScheduleErrors","EntryTimeouts","AuditStatus"
"C:\gitcloud\LifelongTA\results\portable_assignment\archive\table2_taskmatcher_invalid_no_finite_stop_20260917\f2_n50\taskmatcher_7.json","f2_n50","400","822","C:\gitcloud\LifelongTA\results\portable_assignment\archive\table2_taskmatcher_invalid_no_finite_stop_20260917\f2_n50\taskmatcher_7.task_metrics.csv","0",,,"False",,"0","0","0","missing-task-metrics"
"C:\gitcloud\LifelongTA\results\portable_assignment\archive\table2_taskmatcher_invalid_no_finite_stop_20260917\f2_n50\taskmatcher_8.json","f2_n50","400","787","C:\gitcloud\LifelongTA\results\portable_assignment\archive\table2_taskmatcher_invalid_no_finite_stop_20260917\f2_n50\taskmatcher_8.task_metrics.csv","0",,,"False",,"0","0","0","missing-task-metrics"
"C:\gitcloud\LifelongTA\results\portable_assignment\archive\table2_taskmatcher_invalid_no_finite_stop_20260917\f2_n50\taskmatcher_9.json","f2_n50","400","792","C:\gitcloud\LifelongTA\results\portable_assignment\archive\table2_taskmatcher_invalid_no_finite_stop_20260917\f2_n50\taskmatcher_9.task_metrics.csv","0",,,"False",,"0","0","0","missing-task-metrics"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n100\seed_0.json","f10_n100","168","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n100\seed_0.task_metrics.csv","500","0","170","True","2","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n100\seed_1.json","f10_n100","166","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n100\seed_1.task_metrics.csv","500","0","168","True","2","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n100\seed_2.json","f10_n100","170","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n100\seed_2.task_metrics.csv","500","0","175","True","5","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n50\seed_0.json","f10_n50","275","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n50\seed_0.task_metrics.csv","500","0","275","True","0","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n50\seed_1.json","f10_n50","277","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n50\seed_1.task_metrics.csv","500","0","278","True","1","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n50\seed_2.json","f10_n50","270","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n50\seed_2.task_metrics.csv","500","0","271","True","1","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n80\seed_0.json","f10_n80","188","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n80\seed_0.task_metrics.csv","500","0","193","True","5","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n80\seed_1.json","f10_n80","193","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n80\seed_1.task_metrics.csv","500","0","202","True","9","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n80\seed_2.json","f10_n80","186","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f10_n80\seed_2.task_metrics.csv","500","0","191","True","5","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n100\seed_0.json","f2_n100","236","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n100\seed_0.task_metrics.csv","500","0","295","True","59","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n100\seed_1.json","f2_n100","230","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n100\seed_1.task_metrics.csv","500","0","283","True","53","0","0","0","valid"
"C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n100\seed_2.json","f2_n100","223","500","C:\gitcloud\LifelongTA\results\table2_adaptive_assign_all_screen\f2_n100\seed_2.task_metrics.csv","500","0","284","True","61","0","0","0","valid"
