"Run","Makespan","Finished","EntryTimeouts","PlannerErrors","ScheduleErrors"
"f2_n80_cw000_seed0","241","500","0","0","0"
"f2_n80_cw000_seed1","239","500","0","0","0"
"f2_n80_cw000_seed2","253","500","0","0","0"
"f2_n80_cw000_seed3","262","500","0","0","0"
"f2_n80_cw000_seed4","255","500","0","0","0"
"f2_n80_cw025_seed0","244","500","0","0","0"
"f2_n80_cw025_seed1","249","500","0","0","0"
"f2_n80_cw025_seed2","238","500","0","0","0"
"f2_n80_cw025_seed3","242","500","0","0","0"
"f2_n80_cw025_seed4","255","500","0","0","0"
"f2_n80_cw050_seed0","249","500","0","0","0"
"f2_n80_cw050_seed1","236","500","0","0","0"
"f2_n80_cw050_seed2","241","500","0","0","0"
"f2_n80_cw050_seed3","233","500","0","0","0"
"f2_n80_cw050_seed4","226","500","0","0","0"
"f2_n80_cw100_seed0","242","500","0","0","0"
"f2_n80_cw100_seed1","239","500","0","0","0"
"f2_n80_cw100_seed2","228","500","0","0","0"
"f2_n80_cw100_seed3","252","500","0","0","0"
"f2_n80_cw100_seed4","249","500","0","0","0"
