task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
56,28,29,31,62,76,0,2,3,3,0.000000,0.000000,31,2,31,0,0,0,1,3,34,1.000000
57,28,29,29,52,58,0,0,4,-1,-1.000000,-1.000000,23,0,23,0,0,0,1,1,24,1.000000
58,29,30,32,54,15,0,2,4,4,0.000000,0.000000,20,2,22,0,0,0,1,3,25,1.100000
59,29,30,36,56,41,1,7,3,4,0.000000,2.000000,17,6,19,0,1,1,1,7,27,1.117647
60,30,31,32,46,24,0,1,3,3,1.000000,1.000000,14,1,14,0,0,0,1,2,16,1.000000
61,30,31,35,54,19,0,4,4,4,0.000000,0.000000,19,4,19,0,0,0,1,5,24,1.000000
62,31,32,37,53,22,1,4,4,4,0.000000,0.000000,16,5,16,0,0,0,1,6,22,1.000000
63,31,32,41,60,38,3,11,3,3,1.000000,1.000000,19,9,19,0,0,0,1,10,29,1.000000
64,32,33,42,43,13,0,7,3,3,1.000000,1.000000,1,9,1,0,0,0,1,10,11,1.000000
65,32,33,40,61,44,0,7,3,2,1.000000,2.000000,20,7,20,0,1,1,1,8,29,1.000000
66,33,34,46,49,60,0,10,3,4,0.000000,0.000000,3,12,3,0,0,0,1,13,16,1.000000
67,33,34,34,60,61,0,0,4,-1,-1.000000,-1.000000,26,0,26,0,0,0,1,1,27,1.000000
68,34,35,38,41,64,0,3,4,4,0.000000,0.000000,3,3,3,0,0,0,1,4,7,1.000000
69,34,35,43,55,75,0,8,3,3,0.000000,0.000000,12,8,12,0,0,0,1,9,21,1.000000
70,35,36,44,62,59,0,8,3,4,0.000000,0.000000,16,8,18,0,0,0,1,9,27,1.125000
71,35,36,39,68,20,1,4,3,3,0.000000,1.000000,29,3,29,0,0,0,1,4,33,1.000000
72,36,37,42,64,23,0,5,3,4,0.000000,0.000000,12,5,22,0,0,0,1,6,28,1.833333
73,36,37,37,73,45,0,0,4,-1,-1.000000,-1.000000,36,0,36,0,0,0,1,1,37,1.000000
74,37,38,45,72,41,1,8,3,4,1.000000,1.000000,25,7,25,0,2,2,1,8,35,1.000000
75,37,38,39,76,12,1,1,3,3,0.000000,0.000000,35,0,37,1,0,1,1,2,39,1.057143
76,38,39,45,64,51,2,6,3,3,0.000000,0.000000,17,6,19,0,0,0,1,7,26,1.117647
77,38,39,50,86,71,4,8,3,3,0.000000,0.000000,32,11,36,0,0,0,1,12,48,1.125000
78,39,40,42,54,36,0,2,4,4,0.000000,0.000000,12,2,12,0,0,0,1,3,15,1.000000
79,39,40,42,61,17,0,2,4,4,0.000000,0.000000,19,2,19,0,0,0,1,3,22,1.000000
80,40,41,47,69,47,0,3,3,4,0.000000,1.000000,20,5,22,1,0,1,1,7,29,1.100000
81,40,41,46,50,2,1,5,3,3,0.000000,0.000000,4,4,4,1,0,1,1,6,10,1.000000
82,41,42,44,84,71,2,2,3,4,0.000000,1.000000,36,2,40,0,0,0,1,3,43,1.111111
83,41,42,43,46,26,0,1,4,4,0.000000,1.000000,3,1,3,0,0,0,1,2,5,1.000000
84,42,43,44,79,12,0,1,3,3,0.000000,1.000000,23,1,35,0,0,0,1,2,37,1.521739
85,42,43,44,60,43,0,1,3,3,0.000000,1.000000,13,1,15,0,1,1,1,2,18,1.153846
86,43,44,45,60,28,0,1,3,3,0.000000,0.000000,15,1,15,0,0,0,1,2,17,1.000000
87,43,44,50,86,70,0,6,3,4,0.000000,1.000000,27,6,35,0,1,1,1,7,43,1.296296
88,44,45,45,68,27,0,0,4,-1,-1.000000,-1.000000,21,0,23,0,0,0,1,1,24,1.095238
89,44,45,46,65,48,0,1,4,4,1.000000,1.000000,19,1,19,0,0,0,1,2,21,1.000000
90,45,46,48,93,38,0,2,3,3,0.000000,0.000000,22,2,42,0,3,3,1,3,48,1.909091
91,45,46,47,61,25,0,1,3,3,0.000000,0.000000,14,1,14,0,0,0,1,2,16,1.000000
92,46,47,59,81,20,2,6,3,3,0.000000,0.000000,22,12,22,0,0,0,1,13,35,1.000000
93,46,47,49,89,49,0,2,4,4,0.000000,0.000000,38,2,40,0,0,0,1,3,43,1.052632
94,47,48,51,77,54,0,3,3,3,0.000000,1.000000,26,3,26,0,0,0,1,4,30,1.000000
95,47,48,51,72,37,0,3,3,4,1.000000,2.000000,21,3,21,0,0,0,1,4,25,1.000000
96,48,49,52,70,52,0,3,3,4,1.000000,2.000000,16,3,18,0,0,0,1,4,22,1.125000
97,48,49,51,90,46,0,2,4,4,0.000000,0.000000,39,2,39,0,0,0,1,3,42,1.000000
98,49,50,51,55,32,0,1,4,4,0.000000,0.000000,4,1,4,0,0,0,1,2,6,1.000000
99,49,50,51,65,20,0,1,3,3,0.000000,1.000000,10,1,14,0,0,0,1,2,16,1.400000
100,50,51,56,74,26,0,5,3,4,0.000000,1.000000,18,5,18,0,0,0,1,6,24,1.000000
101,50,51,60,79,29,0,7,3,4,0.000000,0.000000,11,9,19,0,0,0,1,10,29,1.727273
102,51,52,60,113,31,0,5,4,4,0.000000,0.000000,47,7,53,1,0,1,1,9,62,1.127660
103,51,52,55,95,8,1,2,3,4,1.000000,2.000000,36,3,38,0,2,2,1,4,44,1.055556
104,52,53,58,76,16,0,5,3,3,0.000000,1.000000,18,5,18,0,0,0,1,6,24,1.000000
105,52,53,63,92,72,5,6,3,4,1.000000,1.000000,25,10,29,0,0,0,1,11,40,1.160000
106,53,54,58,87,8,0,4,3,4,0.000000,3.000000,25,4,29,0,0,0,1,5,34,1.160000
107,53,54,57,61,69,0,3,4,4,0.000000,1.000000,4,3,4,0,0,0,1,4,8,1.000000
108,54,55,63,90,77,0,8,3,4,0.000000,1.000000,18,8,26,0,1,1,1,9,36,1.444444
109,54,55,57,95,60,1,6,3,4,0.000000,0.000000,29,2,37,0,1,1,1,3,41,1.275862
110,55,56,56,79,35,0,0,4,-1,-1.000000,-1.000000,21,0,23,0,0,0,1,1,24,1.095238
111,55,56,63,90,5,1,6,3,3,1.000000,2.000000,25,7,27,0,0,0,1,8,35,1.080000
112,56,57,59,75,72,0,2,3,3,0.000000,1.000000,16,2,16,0,0,0,1,3,19,1.000000
