"Warehouse","FinishedTasks","PickupDistanceMean","CompletionP95","EmptyWait","LoadedWait","EmptyDistance","LoadedDetourMean","PlannerSecondsMean","EntryTimeouts","PlannerErrors","ScheduleErrors"
"500","6200","10.325967741935484","234.0","50334","39253","146996","1.4498282325172172","0.9168940807999997","0","0","0"
"600","6108","10.209561231172232","276.0","66239","70043","156103","1.7491308423551788","0.9163677662999999","0","0","0"
