result_json,task_metrics,status,tasks,completed_tasks,actual_makespan
results/ours_greedy_heap/diagnostics/problem_50_2_0_greedy.json,results/ours_greedy_heap/diagnostics/problem_50_2_0_greedy.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/diagnostics/problem_50_2_0_heap_ownerfix.json,results/ours_greedy_heap/diagnostics/problem_50_2_0_heap_ownerfix.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/diagnostics/problem_50_2_0_initial_m5.json,results/ours_greedy_heap/diagnostics/problem_50_2_0_initial_m5.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/diagnostics/problem_50_2_0_initial_m6.json,results/ours_greedy_heap/diagnostics/problem_50_2_0_initial_m6.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_0.json,results/ours_greedy_heap/problem_50_2_0.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_0_smoke.json,results/ours_greedy_heap/problem_50_2_0_smoke.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_0_stable_smoke.json,results/ours_greedy_heap/problem_50_2_0_stable_smoke.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_1.json,results/ours_greedy_heap/problem_50_2_1.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_10.json,results/ours_greedy_heap/problem_50_2_10.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_11.json,results/ours_greedy_heap/problem_50_2_11.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_12.json,results/ours_greedy_heap/problem_50_2_12.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_13.json,results/ours_greedy_heap/problem_50_2_13.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_14.json,results/ours_greedy_heap/problem_50_2_14.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_15.json,results/ours_greedy_heap/problem_50_2_15.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_16.json,results/ours_greedy_heap/problem_50_2_16.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_17.json,results/ours_greedy_heap/problem_50_2_17.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_18.json,results/ours_greedy_heap/problem_50_2_18.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_19.json,results/ours_greedy_heap/problem_50_2_19.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_2.json,results/ours_greedy_heap/problem_50_2_2.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_20.json,results/ours_greedy_heap/problem_50_2_20.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_21.json,results/ours_greedy_heap/problem_50_2_21.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_22.json,results/ours_greedy_heap/problem_50_2_22.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_23.json,results/ours_greedy_heap/problem_50_2_23.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_24.json,results/ours_greedy_heap/problem_50_2_24.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_3.json,results/ours_greedy_heap/problem_50_2_3.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_4.json,results/ours_greedy_heap/problem_50_2_4.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_5.json,results/ours_greedy_heap/problem_50_2_5.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_6.json,results/ours_greedy_heap/problem_50_2_6.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_7.json,results/ours_greedy_heap/problem_50_2_7.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_8.json,results/ours_greedy_heap/problem_50_2_8.task_metrics.csv,missing_metrics,,,
results/ours_greedy_heap/problem_50_2_9.json,results/ours_greedy_heap/problem_50_2_9.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n100/hungarian_0.json,results/table2_capped_hungarian_screen/f10_n100/hungarian_0.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n100/hungarian_1.json,results/table2_capped_hungarian_screen/f10_n100/hungarian_1.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n100/hungarian_2.json,results/table2_capped_hungarian_screen/f10_n100/hungarian_2.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n100/hungarian_3.json,results/table2_capped_hungarian_screen/f10_n100/hungarian_3.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n100/hungarian_4.json,results/table2_capped_hungarian_screen/f10_n100/hungarian_4.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n50/hungarian_0.json,results/table2_capped_hungarian_screen/f10_n50/hungarian_0.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n50/hungarian_1.json,results/table2_capped_hungarian_screen/f10_n50/hungarian_1.task_metrics.csv,missing_metrics,,,
results/table2_capped_hungarian_screen/f10_n50/hungarian_2.json,results/table2_capped_hungarian_screen/f10_n50/hungarian_2.task_metrics.csv,missing_metrics,,,
