"Run","Makespan","Finished","EntryTimeouts","PlannerErrors","ScheduleErrors"
"f10_n50_cap2_w010_seed10","253","500","0","0","0"
"f10_n50_cap2_w010_seed11","272","500","0","0","0"
"f10_n50_cap2_w010_seed12","269","500","0","0","0"
"f10_n50_cap2_w010_seed15","262","500","0","0","0"
"f10_n50_cap2_w010_seed18","269","500","0","0","0"
"f10_n50_cap2_w010_seed23","277","500","0","0","0"
"f10_n50_cap2_w010_seed24","261","500","0","0","0"
"f10_n50_cap2_w010_seed8","286","500","0","0","0"
"f10_n50_cap2_w025_seed10","247","500","0","0","0"
"f10_n50_cap2_w025_seed11","272","500","0","0","0"
"f10_n50_cap2_w025_seed12","261","500","0","0","0"
"f10_n50_cap2_w025_seed15","262","500","0","0","0"
"f10_n50_cap2_w025_seed18","279","500","0","0","0"
"f10_n50_cap2_w025_seed23","271","500","0","0","0"
"f10_n50_cap2_w025_seed24","270","500","0","0","0"
"f10_n50_cap2_w025_seed8","282","500","0","0","0"
"f10_n50_cap3_w025_seed10","253","500","0","0","0"
"f10_n50_cap3_w025_seed11","268","500","0","0","0"
"f10_n50_cap3_w025_seed12","267","500","0","0","0"
"f10_n50_cap3_w025_seed15","259","500","0","0","0"
"f10_n50_cap3_w025_seed18","269","500","0","0","0"
"f10_n50_cap3_w025_seed23","273","500","0","0","0"
"f10_n50_cap3_w025_seed24","275","500","0","0","0"
"f10_n50_cap3_w025_seed8","279","500","0","0","0"
"f10_n50_cap3_w050_seed10","256","500","0","0","0"
"f10_n50_cap3_w050_seed11","265","500","0","0","0"
"f10_n50_cap3_w050_seed12","269","500","0","0","0"
"f10_n50_cap3_w050_seed15","269","500","0","0","0"
"f10_n50_cap3_w050_seed18","274","500","0","0","0"
"f10_n50_cap3_w050_seed23","274","500","0","0","0"
"f10_n50_cap3_w050_seed24","276","500","0","0","0"
"f10_n50_cap3_w050_seed8","272","500","0","0","0"
