"Warehouse","RouteWeight","FinishedTasks","PickupDistanceMean","CompletionP95","EmptyWait","LoadedWait","EmptyDistance","LoadedDetourMean","PlannerSecondsMean","EntryTimeouts","PlannerErrors","ScheduleErrors"
"500","0.05","1578","8.327629911280102","169.0","11426","10309","35117","1.4393740596104103","0.9169199743999995","0","0","0"
"500","0.15","1552","8.284149484536082","170.0","11604","10424","34631","1.4659921247491017","0.9168625139999995","0","0","0"
"600","0.05","1531","7.962769431743959","184.0","15492","17783","37285","1.7485670341585626","0.9162989272000001","0","0","0"
"600","0.15","1547","7.76147382029735","179.0","15657","17267","37072","1.7582955030053624","0.9162845443999996","0","0","0"
