task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
517,0,1,3,42,411,1,4,3,4,0.000000,0.000000,24,2,30,0,9,9,1,3,42,1.250000
518,0,151,-1,-1,556,12,2,3,3,0.000000,0.000000,51,20,0,3,0,3,151,-1,-1,0.000000
519,0,1,37,128,400,33,6,3,4,0.000000,0.000000,20,25,70,11,21,32,1,37,128,3.500000
520,0,1,14,92,395,9,3,3,4,0.000000,0.000000,31,8,67,4,11,15,1,14,92,2.161290
521,0,3,86,169,598,52,10,3,2,0.000000,0.000000,38,37,74,22,9,31,3,86,169,1.947368
522,0,1,4,44,420,1,3,3,4,0.000000,0.000000,31,3,35,0,5,5,1,4,44,1.129032
523,0,1,10,76,447,7,5,3,4,0.000000,0.000000,34,5,56,4,10,14,1,10,76,1.647059
524,0,172,-1,-1,30,0,4,3,3,1.000000,1.000000,62,3,0,2,0,2,172,-1,-1,0.000000
525,0,1,11,71,253,5,9,3,2,0.000000,0.000000,25,10,43,0,17,17,1,11,71,1.720000
526,0,1,4,24,271,3,7,3,4,0.000000,0.000000,15,2,19,1,1,2,1,4,24,1.266667
527,0,1,6,41,5,3,6,3,4,0.000000,0.000000,10,5,18,0,17,17,1,6,41,1.800000
528,0,1,23,116,504,12,2,3,3,0.000000,0.000000,23,16,65,2,28,30,1,23,116,2.826087
529,0,1,8,21,28,4,2,3,3,0.000000,0.000000,11,6,13,1,0,1,1,8,21,1.181818
530,0,1,6,44,175,3,4,3,4,0.000000,0.000000,26,3,34,2,4,6,1,6,44,1.307692
531,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,37,0,0,0,0,0,-1,-1,-1,0.000000
532,0,1,9,38,366,3,4,3,3,0.000000,0.000000,23,5,27,3,2,5,1,9,38,1.173913
533,0,1,1,14,3,0,0,3,-1,-1.000000,-1.000000,11,0,13,0,0,0,1,1,14,1.181818
534,0,235,-1,-1,7,2,24,3,2,2.000000,2.000000,37,2,0,1,0,1,235,-1,-1,0.000000
535,0,1,17,81,533,13,11,3,2,0.000000,0.000000,29,15,59,1,5,6,1,17,81,2.034483
536,0,1,5,29,332,4,5,3,4,0.000000,0.000000,18,3,20,1,4,5,1,5,29,1.111111
537,0,1,138,195,546,72,5,3,4,0.000000,0.000000,39,57,49,31,8,39,1,138,195,1.256410
